epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3389.69,1.9244,1.38477,1.11516,0.88082,0.77305,0.83606,0.33209,2.14412,1.08587,1.11861,0.0011882,0.0011882,0.0011882
43,3449.74,1.91856,1.36823,1.11937,0.91265,0.81515,0.87449,0.37529,1.97922,1.04406,1.06041,0.0011684,0.0011684,0.0011684
44,3515.58,1.94554,1.38442,1.13598,0.90485,0.8156,0.86154,0.35641,2.0022,1.04992,1.05338,0.0011486,0.0011486,0.0011486
45,3579.06,1.91423,1.36497,1.11532,0.90221,0.80496,0.87138,0.37064,1.99701,1.06509,1.05962,0.0011288,0.0011288,0.0011288
46,3636.31,1.92435,1.35616,1.12036,0.93551,0.77156,0.85938,0.37556,1.96862,1.03003,1.05736,0.001109,0.001109,0.001109
47,3696.21,1.91037,1.36303,1.11822,0.91836,0.81915,0.87659,0.36707,1.95653,1.05097,1.04852,0.0010892,0.0010892,0.0010892
48,3752.89,1.87783,1.31745,1.1065,0.9193,0.80142,0.87554,0.38413,1.92669,1.03966,1.03997,0.0010694,0.0010694,0.0010694
49,3817.65,1.89962,1.34665,1.11,0.90746,0.79433,0.86459,0.36603,1.97771,1.05927,1.0627,0.0010496,0.0010496,0.0010496
50,3879.31,1.88949,1.32468,1.10404,0.90864,0.81114,0.87538,0.37834,1.94125,1.00518,1.04084,0.0010298,0.0010298,0.0010298
51,3947.57,1.89318,1.33401,1.10773,0.92131,0.83034,0.87976,0.38568,1.96701,1.01675,1.05804,0.00101,0.00101,0.00101
52,4018.36,1.89127,1.311,1.11063,0.93254,0.78014,0.87787,0.38894,1.93387,0.98933,1.05163,0.0009902,0.0009902,0.0009902
53,4079.8,1.888,1.33421,1.09991,0.92685,0.79433,0.87178,0.37968,1.98434,1.01879,1.0472,0.0009704,0.0009704,0.0009704
54,4143.97,1.89657,1.32238,1.10564,0.92048,0.77993,0.86947,0.37514,1.96763,1.01466,1.04747,0.0009506,0.0009506,0.0009506
55,4212.78,1.87061,1.32191,1.10564,0.89752,0.80751,0.87459,0.37042,2.00085,0.99199,1.06575,0.0009308,0.0009308,0.0009308
56,4280.44,1.87049,1.3181,1.10099,0.91099,0.80851,0.8811,0.34966,2.07805,1.00957,1.06373,0.000911,0.000911,0.000911
57,4348.07,1.8483,1.25062,1.09365,0.89436,0.81915,0.86779,0.39329,2.01367,0.98203,1.0659,0.0008912,0.0008912,0.0008912
58,4410.65,1.85131,1.28647,1.08984,0.91696,0.80851,0.87636,0.38293,1.93622,0.99473,1.04555,0.0008714,0.0008714,0.0008714
59,4476.37,1.86181,1.27321,1.09013,0.89285,0.79783,0.86056,0.38817,1.96851,0.99759,1.049,0.0008516,0.0008516,0.0008516
60,4536.84,1.86753,1.27949,1.09511,0.92213,0.79787,0.88322,0.39334,1.9337,0.99432,1.04585,0.0008318,0.0008318,0.0008318
61,4596.19,1.82845,1.27467,1.08942,0.93846,0.81118,0.89439,0.4122,1.89691,0.98007,1.02655,0.000812,0.000812,0.000812
62,4667.46,1.82488,1.23899,1.09036,0.91018,0.80496,0.88362,0.37922,1.93894,0.97801,1.03124,0.0007922,0.0007922,0.0007922
63,4727.34,1.84282,1.2624,1.0908,0.91227,0.80496,0.87388,0.38847,1.92951,0.97463,1.03549,0.0007724,0.0007724,0.0007724
64,4791.26,1.83544,1.24393,1.09263,0.93203,0.80851,0.88802,0.39768,1.90684,0.95885,1.02621,0.0007526,0.0007526,0.0007526
65,4858.24,1.83542,1.2481,1.08356,0.92743,0.80142,0.88496,0.39812,1.93005,0.9784,1.04146,0.0007328,0.0007328,0.0007328
66,4920.46,1.83092,1.23092,1.08275,0.87813,0.82624,0.87694,0.3852,1.99541,0.99102,1.05043,0.000713,0.000713,0.000713
67,4981.39,1.83924,1.25473,1.08712,0.9011,0.84043,0.88659,0.38238,1.94812,0.96787,1.0496,0.0006932,0.0006932,0.0006932
68,5036.88,1.82078,1.21021,1.07551,0.92205,0.83333,0.89668,0.40022,1.91905,0.93089,1.04232,0.0006734,0.0006734,0.0006734
69,5095.49,1.81565,1.20743,1.07849,0.89403,0.85461,0.90588,0.38729,1.97319,0.95231,1.0404,0.0006536,0.0006536,0.0006536
70,5155.84,1.81959,1.22351,1.08037,0.92714,0.82979,0.8912,0.38028,1.94491,0.94863,1.04466,0.0006338,0.0006338,0.0006338
71,5212.76,1.80619,1.21976,1.0793,0.89915,0.83688,0.89197,0.40128,1.92862,0.92513,1.03098,0.000614,0.000614,0.000614
72,5273.73,1.78433,1.2003,1.07445,0.8957,0.82227,0.88328,0.4031,1.89281,0.92711,1.03069,0.0005942,0.0005942,0.0005942
73,5328.16,1.7824,1.16474,1.07266,0.92351,0.84397,0.90289,0.40273,1.91809,0.94729,1.02787,0.0005744,0.0005744,0.0005744
74,5387.85,1.81077,1.19676,1.07386,0.89808,0.81915,0.88879,0.39588,1.90308,0.93302,1.02363,0.0005546,0.0005546,0.0005546
75,5448.16,1.78485,1.17593,1.07044,0.89366,0.82624,0.89201,0.40639,1.91571,0.94347,1.02248,0.0005348,0.0005348,0.0005348
76,5506.86,1.79374,1.17376,1.06905,0.92002,0.83333,0.89882,0.39726,1.93284,0.92913,1.03834,0.000515,0.000515,0.000515
77,5562.59,1.7911,1.17384,1.08014,0.90509,0.81915,0.88109,0.39278,1.94506,0.94513,1.05534,0.0004952,0.0004952,0.0004952
78,5623.36,1.74706,1.14024,1.06571,0.9151,0.85461,0.90247,0.40343,1.92151,0.90636,1.04188,0.0004754,0.0004754,0.0004754
79,5680.14,1.77656,1.16801,1.06864,0.91848,0.83904,0.89421,0.40932,1.90793,0.92332,1.02793,0.0004556,0.0004556,0.0004556
